ym,Nuclear,Natural Gas,Coal,Hydro,Solar,Wind,Petroleum,Other
2021-07,40.40363683084603,29.907730664114457,20.342454931268485,8.695216654304822,0.5431294149141196,0.0,0.0,0.1078315045520769
2021-08,38.44957468654054,29.669228850597605,20.84547620424782,10.359178597105497,0.5815164719488886,0.0,0.0,0.09502518955964792
2021-09,41.30935907197056,24.41179262809853,18.30112702940424,15.15455630840343,0.7171012220278105,0.0,0.0,0.10606374009542593
2021-10,45.41647213895185,25.351825338552107,10.846636479268422,17.80880620988966,0.5342757471320219,0.0,0.0,0.0419840862059329
2021-11,41.47270464313089,30.100516205351013,14.618212173048917,13.22773785838112,0.46973328307227713,0.0,0.0,0.1110958370157827
2021-12,50.04620507087642,26.97324484342156,10.956483794932428,11.592582140604186,0.32583951466253036,0.0,0.0,0.10564463550287606
2022-01,37.71879986699016,31.786699054515893,15.347982706654747,14.670151536581935,0.37280714354004624,0.0,0.0,0.10355969171721943
2022-02,42.00707761779176,27.153950221609275,14.918067555896208,15.237571578747641,0.5711920762689745,0.0,0.0,0.112140949686146
2022-03,37.05822234330057,28.905322674724694,15.026933432721574,17.89090246637708,1.0234370168820728,0.0,0.0,0.09518206599401331
2022-04,46.90299780282689,31.095072903826882,11.528501428428072,9.121953496632216,1.2225007447057408,0.0,0.0,0.1289736235802023
2022-05,41.63325623877097,28.056506012624133,21.266729227692903,7.818369011494022,1.134954845806699,0.0,0.0,0.09018466361128304
2022-06,34.047613943801494,37.034534860631936,19.04187557397801,8.63963827257158,1.142991883640696,0.0,0.0,0.09334546537629265
2022-07,37.1600927602053,35.15470199505798,19.3811581005728,7.242175328446164,0.9147127587492837,0.002958507590581996,0.0039635207848349036,0.14023702859306508
2022-08,40.31005230255119,35.01110327319152,13.602465136150554,10.11736196911565,0.7976271250651515,0.004571561979570674,0.000113787047807762,0.15670484489854847
2022-09,44.0106067938154,30.28891915491493,12.786921244347301,11.690058104949278,1.0190792636006463,0.012408950484810586,0.0003554244846209757,0.19165106340301483
2022-10,45.085911766111465,26.936984985720457,16.285052652900053,10.384700921613751,1.0881305664125855,0.029465938540869152,0.0001868875594558297,0.18956628114136326
2022-11,44.6822266070421,30.637654483412447,14.341478559814643,9.512304352186565,0.6171027626953911,0.012450780378338381,5.0103743977216826e-05,0.19673235072654185
2022-12,42.90975548558066,28.93324342855551,12.298244533179105,15.234312017757542,0.3735468195190009,0.013508455788799665,0.01157563097314816,0.22581362864622606
